productCode,hsnCode,model,family,series,description,category,hpRating,fad,workingPressure,gstPct,piePrice,elgiPrice,warrantyMonths,leadTimeDays,uom,notes
EQ-11-7.5-DM,8414,EQ 11-7.5 DM,Screw > EQ,EQ,Elgi make EQ 11 DM -7.5 STD,Screw,15,65 cfm,7.0 bar.g,18,,,12,42,Nos,"Max pressure 7.5 bar.g; normal working pressure 7.0 bar.g. 11 kW, 15 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.84 m3/min (65 cfm) per ISO 1217 Annex C. 568 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-11-8.5-DM,8414,EQ 11-8.5 DM,Screw > EQ,EQ,Elgi make EQ 11 DM -8.5 STD,Screw,15,60 cfm,8.0 bar.g,18,,,12,42,Nos,"Max pressure 8.5 bar.g; normal working pressure 8.0 bar.g. 11 kW, 15 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.70 m3/min (60 cfm) per ISO 1217 Annex C. 568 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-11-10-DM,8414,EQ 11-10 DM,Screw > EQ,EQ,Elgi make EQ 11 DM -10 STD,Screw,15,55 cfm,9.5 bar.g,18,,,12,42,Nos,"Max pressure 10 bar.g; normal working pressure 9.5 bar.g. 11 kW, 15 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.56 m3/min (55 cfm) per ISO 1217 Annex C. 568 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-11-13-DM,8414,EQ 11-13 DM,Screw > EQ,EQ,Elgi make EQ 11 DM -13 STD,Screw,15,45 cfm,12.5 bar.g,18,,,12,42,Nos,"Max pressure 13 bar.g; normal working pressure 12.5 bar.g. 11 kW, 15 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.27 m3/min (45 cfm) per ISO 1217 Annex C. 568 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-11-16-DM,8414,EQ 11-16 DM,Screw > EQ,EQ,Elgi make EQ 11 DM -16 STD,Screw,15,34 cfm,15.5 bar.g,18,,,12,42,Nos,"Max pressure 16 bar.g; normal working pressure 15.5 bar.g. 11 kW, 15 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 0.95 m3/min (34 cfm) per ISO 1217 Annex C. 568 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-15-7.5-DM,8414,EQ 15-7.5 DM,Screw > EQ,EQ,Elgi make EQ 15 DM -7.5 STD,Screw,20,90 cfm,7.0 bar.g,18,,,12,42,Nos,"Max pressure 7.5 bar.g; normal working pressure 7.0 bar.g. 15 kW, 20 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 2.55 m3/min (90 cfm) per ISO 1217 Annex C. 586 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-15-8.5-DM,8414,EQ 15-8.5 DM,Screw > EQ,EQ,Elgi make EQ 15 DM -8.5 STD,Screw,20,88 cfm,8.0 bar.g,18,,,12,42,Nos,"Max pressure 8.5 bar.g; normal working pressure 8.0 bar.g. 15 kW, 20 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 2.49 m3/min (88 cfm) per ISO 1217 Annex C. 586 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-15-10-DM,8414,EQ 15-10 DM,Screw > EQ,EQ,Elgi make EQ 15 DM -10 STD,Screw,20,76 cfm,9.5 bar.g,18,,,12,42,Nos,"Max pressure 10 bar.g; normal working pressure 9.5 bar.g. 15 kW, 20 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 2.15 m3/min (76 cfm) per ISO 1217 Annex C. 586 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-15-13-DM,8414,EQ 15-13 DM,Screw > EQ,EQ,Elgi make EQ 15 DM -13 STD,Screw,20,67 cfm,12.5 bar.g,18,,,12,42,Nos,"Max pressure 13 bar.g; normal working pressure 12.5 bar.g. 15 kW, 20 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.90 m3/min (67 cfm) per ISO 1217 Annex C. 586 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled."
EQ-15-16-DM,8414,EQ 15-16 DM,Screw > EQ,EQ,Elgi make EQ 15 DM -16 STD,Screw,20,51 cfm,15.5 bar.g,18,,,12,42,Nos,"Max pressure 16 bar.g; normal working pressure 15.5 bar.g. 15 kW, 20 hp, 400V/50Hz. Fixed speed with Demand=Match (delivery varies 100-40%). FAD 1.44 m3/min (51 cfm) per ISO 1217 Annex C. 586 kg, 70 dB(A), 1356 x 721 x 1220 mm, air-cooled. 16 bar is region-specific - confirm availability with ELGi before quoting."
